time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2024-06-06T00:00:00.0000000Z,2024-06-05T00:00:01.1280000Z,2024-06-05T23:59:57.9370000Z,0.5257,0.5326,0.524,0.5258,247551681.0,118214
2024-06-07T00:00:00.0000000Z,2024-06-06T00:00:00.9390000Z,2024-06-06T23:59:55.6020000Z,0.5259,0.5281,0.5164,0.5215,289539911.0,128892
2024-06-08T00:00:00.0000000Z,2024-06-07T00:00:02.5510000Z,2024-06-07T23:59:59.8150000Z,0.5214,0.528,0.4508,0.4991,524990986.0,283530
2024-06-09T00:00:00.0000000Z,2024-06-08T00:00:00.0070000Z,2024-06-08T23:59:56.4630000Z,0.4991,0.5008,0.4897,0.4926,152094807.0,77481
2024-06-10T00:00:00.0000000Z,2024-06-09T00:00:00.3670000Z,2024-06-09T23:59:53.6500000Z,0.4927,0.4992,0.4909,0.4986,90899764.0,50662
2024-06-11T00:00:00.0000000Z,2024-06-10T00:00:00.4540000Z,2024-06-10T23:59:55.5840000Z,0.4987,0.506,0.4933,0.4969,249624273.0,110179
2024-06-12T00:00:00.0000000Z,2024-06-11T00:00:00.4480000Z,2024-06-11T23:59:58.4050000Z,0.4969,0.497,0.4707,0.4802,425769321.0,208292
2024-06-13T00:00:00.0000000Z,2024-06-12T00:00:00.4580000Z,2024-06-12T23:59:58.8270000Z,0.4803,0.4982,0.4742,0.4916,338031082.0,179608
2024-06-14T00:00:00.0000000Z,2024-06-13T00:00:00.4850000Z,2024-06-13T23:59:55.8610000Z,0.4917,0.4917,0.4756,0.4769,288866879.0,138714
2024-06-15T00:00:00.0000000Z,2024-06-14T00:00:00.0130000Z,2024-06-14T23:59:59.9330000Z,0.4768,0.4814,0.4601,0.4746,370341014.0,161341
2024-06-16T00:00:00.0000000Z,2024-06-15T00:00:00.0090000Z,2024-06-15T23:59:52.3140000Z,0.4746,0.5053,0.474,0.4908,174684822.0,116727
2024-06-17T00:00:00.0000000Z,2024-06-16T00:00:03.8800000Z,2024-06-16T23:59:59.8850000Z,0.4908,0.4997,0.4878,0.4891,161396677.0,96688
2024-06-18T00:00:00.0000000Z,2024-06-17T00:00:03.5600000Z,2024-06-17T23:59:57.8830000Z,0.4891,0.5213,0.4838,0.5047,576238334.0,368363
2024-06-19T00:00:00.0000000Z,2024-06-18T00:00:00.3640000Z,2024-06-18T23:59:59.3850000Z,0.5048,0.5096,0.4763,0.491,548429729.0,382892
2024-06-20T00:00:00.0000000Z,2024-06-19T00:00:04.1280000Z,2024-06-19T23:59:58.7520000Z,0.4909,0.4996,0.4868,0.4933,248249933.0,146020
2024-06-21T00:00:00.0000000Z,2024-06-20T00:00:00.0760000Z,2024-06-20T23:59:50.8600000Z,0.4933,0.5023,0.4883,0.4888,317275735.0,158574
2024-06-22T00:00:00.0000000Z,2024-06-21T00:00:03.4520000Z,2024-06-21T23:59:57.4230000Z,0.4888,0.4959,0.4797,0.4889,333431975.0,178218
2024-06-23T00:00:00.0000000Z,2024-06-22T00:00:03.0290000Z,2024-06-22T23:59:57.5540000Z,0.489,0.4897,0.4841,0.4866,76467667.0,60834
